[INFO]
DATA_FORMAT_VERSION=1.0
CREATOR=tellurium
NUMBER_OF_COLS=3
NUMBER_OF_ROWS=1512
COLUMN_HEADERS=('time', '[S1]', '[S2]')

[DATA]
3.79881,3.359584319019477e-006,0.0001466404156809807
3.80543,3.337423003007193e-006,0.000146662576996993
3.81205,3.31540798433027e-006,0.0001466845920156699
3.81866,3.293538224675267e-006,0.0001467064617753249
3.82528,3.271812741589749e-006,0.0001467281872584104
3.8319,3.25023058273576e-006,0.0001467497694172644
3.83852,3.228790801829057e-006,0.0001467712091981711
3.84514,3.207492458582922e-006,0.0001467925075414172
3.85175,3.186334618651979e-006,0.0001468136653813482
3.85837,3.165316353576015e-006,0.0001468346836464241
3.86499,3.144436740723793e-006,0.0001468555632592763
3.87161,3.123694863236873e-006,0.0001468763051367633
3.87823,3.103089809973422e-006,0.0001468969101900267
3.88484,3.082620675452042e-006,0.0001469173793245481
3.89146,3.062286559795573e-006,0.0001469377134402046
3.89808,3.042086568674926e-006,0.0001469579134313252
3.9047,3.022019813252885e-006,0.0001469779801867473
3.91132,3.002085410127934e-006,0.0001469979145898722
3.91794,2.982282481278072e-006,0.0001470177175187221
3.92455,2.962610154004625e-006,0.0001470373898459955
3.93117,2.943067560876072e-006,0.0001470569324391241
3.93779,2.923653839671851e-006,0.0001470763461603283
3.94441,2.904368133326189e-006,0.000147095631866674
3.95103,2.885209589871904e-006,0.0001471147904101283
3.95764,2.866177362384239e-006,0.0001471338226376159
3.96426,2.847270608924664e-006,0.0001471527293910755
3.97088,2.828488492484697e-006,0.0001471715115075154
3.9775,2.809830180929733e-006,0.0001471901698190704
3.98412,2.79129484694284e-006,0.0001472087051530573
3.99073,2.772881667968596e-006,0.0001472271183320316
3.99735,2.754589826156892e-006,0.0001472454101738433
4.00397,2.736418508306756e-006,0.0001472635814916934
4.01059,2.718366905810169e-006,0.00014728163309419
4.01721,2.700434241181201e-006,0.0001472995657588189
4.02383,2.682650683901565e-006,0.0001473173493160985
4.03044,2.664954747945999e-006,0.0001473350452520541
4.03706,2.647375665785842e-006,0.0001473526243342143
4.04368,2.629941975551621e-006,0.0001473700580244485
4.0503,2.612593725856289e-006,0.0001473874062741438
4.05692,2.595360025354365e-006,0.0001474046399746457
4.06353,2.578239969849699e-006,0.0001474217600301504
4.07015,2.56126215871487e-006,0.0001474387378412853
4.07677,2.544366946842905e-006,0.0001474556330531572
4.08339,2.527583280173989e-006,0.0001474724167198261
4.09001,2.51093949793287e-006,0.0001474890605020672
4.09662,2.494376233339199e-006,0.0001475056237666609
4.10324,2.477922312287143e-006,0.0001475220776877129
4.10986,2.461576939244301e-006,0.0001475384230607558
4.11648,2.445368400979788e-006,0.0001475546315990203
4.1231,2.429237668293381e-006,0.0001475707623317067
4.12972,2.413213410454775e-006,0.0001475867865895453
4.13633,2.397294892133695e-006,0.0001476027051078664
4.14295,2.381510227763558e-006,0.0001476184897722365
4.14957,2.365800728096784e-006,0.0001476341992719033
4.15619,2.350194909672847e-006,0.0001476498050903272
4.16281,2.334720821085915e-006,0.0001476652791789142
4.16942,2.319319962440235e-006,0.0001476806800375598
4.17604,2.304020738237893e-006,0.0001476959792617622
4.18266,2.288822512285016e-006,0.0001477111774877151
4.18928,2.273753111206938e-006,0.0001477262468887931
4.1959,2.258754419334167e-006,0.0001477412455806659
4.20251,2.243854695005732e-006,0.0001477561453049943
4.20913,2.229053355187733e-006,0.0001477709466448123
4.21575,2.21437806976322e-006,0.0001477856219302368
4.22237,2.199771039006707e-006,0.0001478002289609933
4.22899,2.18526037871019e-006,0.0001478147396212899
4.23561,2.170873862488253e-006,0.0001478291261375118
4.24222,2.156553802720165e-006,0.0001478434461972799
4.24884,2.142328210619348e-006,0.0001478576717893807
4.25546,2.128196590174778e-006,0.0001478718034098253
4.26208,2.114186350250211e-006,0.0001478858136497498
4.2687,2.100240223950612e-006,0.0001478997597760495
4.27531,2.086386086039466e-006,0.0001479136139139606
4.28193,2.072651542777626e-006,0.0001479273484572224
4.28855,2.058979396786783e-006,0.0001479410206032133
4.29517,2.045397422717417e-006,0.0001479546025772826
4.30179,2.031905204078898e-006,0.0001479680947959211
4.30841,2.018529905271592e-006,0.0001479814700947284
4.31502,2.005214767561456e-006,0.0001479947852324385
4.32164,1.991987434963792e-006,0.0001480080125650362
4.32826,1.978847533120331e-006,0.0001480211524668797
4.33488,1.965822094023966e-006,0.000148034177905976
4.3415,1.952854638620696e-006,0.0001480471453613793
4.34811,1.939972683491617e-006,0.0001480600273165084
4.35473,1.927203583166062e-006,0.000148072796416834
4.36135,1.914490871403786e-006,0.0001480855091285963
4.36797,1.90186197127558e-006,0.0001480981380287245
4.37459,1.889316576450425e-006,0.0001481106834235496
4.3812,1.876881499764153e-006,0.0001481231185002358
4.38782,1.86450073340971e-006,0.0001481354992665903
4.39444,1.852201578419567e-006,0.0001481477984215804
4.40106,1.840011235922638e-006,0.0001481599887640773
4.40768,1.827873681302264e-006,0.0001481721263186977
4.4143,1.815816126031989e-006,0.000148184183873968
4.42091,1.803838324669633e-006,0.0001481961616753303
4.42753,1.791966886576317e-006,0.0001482080331134236
4.43415,1.780146252815575e-006,0.0001482198537471844
4.44077,1.768403517966952e-006,0.000148231596482033
4.44739,1.756738468228322e-006,0.0001482432615317716
4.454,1.745177603603756e-006,0.0001482548223963962
4.46062,1.733665611943984e-006,0.0001482663343880559
4.46724,1.722229473765703e-006,0.0001482777705262342
4.47386,1.710896159151184e-006,0.0001482891038408488
4.48048,1.699610302669649e-006,0.0001483003896973303
4.48709,1.688398801118767e-006,0.0001483116011988812
4.49371,1.677261490619673e-006,0.0001483227385093803
4.50033,1.666224691736802e-006,0.0001483337753082632
4.50695,1.655233507665517e-006,0.0001483447664923344
4.51357,1.644314725911749e-006,0.0001483556852740882
4.52019,1.633468208053136e-006,0.0001483665317919468
4.5268,1.622720178831099e-006,0.0001483772798211688
4.53342,1.612015969616534e-006,0.0001483879840303834
4.54004,1.601382261248934e-006,0.000148398617738751
4.54666,1.590845804264414e-006,0.0001484091541957355
4.55328,1.58035185253173e-006,0.0001484196481474682
4.55989,1.569927008586624e-006,0.0001484300729914133
4.56651,1.559571173246678e-006,0.0001484404288267533
